userID,frequency,tutorID,name
1,2,44,王爽
1,6,6,方效林
1,1,112,孔佑勇
1,3,112,孔佑勇
1,1,29,杨明
1,1,62,薛晖
1,5,33,Vincent Chau
1,4,124,周卫平
1,5,119,伍家松
1,6,58,王萌
1,6,97,周颖
1,6,9,何田
1,3,35,崇志宏
1,4,23,王帅
1,6,10,金嘉晖
1,2,55,宋沫飞
1,3,54,祁磊
1,2,97,周颖
1,6,123,章品正
1,2,119,伍家松
1,2,98,朱海林
1,4,50,朱夏
1,4,49,张柏礼
1,5,47,徐造林
1,2,117,唐慧
1,5,116,舒华忠
1,6,45,吴强
1,6,13,凌振
1,3,45,吴强
1,3,39,吕建华
1,3,6,方效林
1,1,124,周卫平
1,1,64,姚莉
1,2,67,张志政
1,3,124,周卫平
1,2,25,吴巍炜
1,1,81,杨旭
1,1,81,杨旭
1,6,81,杨旭
1,3,82,张敏灵
1,2,101,王红兵
1,3,107,鲍旭东
1,6,92,王璐璐
1,5,89,廖力
1,5,106,朱海林
1,6,91,戚晓芳
1,5,1,单冯
1,1,1,单冯
1,6,91,戚晓芳
1,3,20,宋爱波
1,3,20,宋爱波
1,4,3,东方
1,1,41,任国林
1,3,25,吴巍炜
1,2,70,高志强
1,3,68,周德宇
1,6,5,董永强
1,1,70,高志强
1,6,68,周德宇
1,3,101,王红兵
2,1,27,熊润群
2,1,99,崇志宏
2,2,40,倪巍伟
2,2,122,於文雪
2,3,105,周玲
2,1,34,陈龙
2,2,118,王世杰
2,6,29,杨明
2,2,105,周玲
2,4,98,朱海林
2,6,100,倪巍伟
2,6,35,崇志宏
2,6,33,Vincent Chau
2,5,121,杨冠羽
2,4,26,吴文甲
2,3,55,宋沫飞
2,6,116,舒华忠
2,6,89,廖力
2,6,106,朱海林
2,4,93,王岩冰
2,1,80,杨绍富
2,6,77,时霄
2,6,76,倪庆剑
2,5,110,季续
2,2,71,蒋嶷川
2,6,94,仲新宇
2,6,94,仲新宇
2,1,68,周德宇
2,5,66,张宇
2,6,66,张宇
2,3,63,闫亚萍
2,6,112,孔佑勇
2,3,62,薛晖
2,2,112,孔佑勇
2,2,59,吴含前
2,6,58,王萌
2,5,57,王红兵
2,1,56,汪鹏
2,6,54,祁磊
2,4,97,周颖
2,5,51,耿新
2,3,51,耿新
2,5,49,张柏礼
2,5,46,徐立臻
2,5,43,王伟
2,2,42,宛斌
2,6,116,舒华忠
2,1,22,王萃寒
2,6,0,陈巍巍
2,4,6,方效林
2,3,12,李幼平(院士)
2,1,124,周卫平
2,1,13,凌振
2,2,104,仲新宇
2,6,2,丁玎
2,1,101,王红兵
2,5,14,刘波
2,1,103,吴含前
2,5,11,李伟
2,4,2,丁玎
3,4,52,贾育衡
3,4,52,贾育衡
3,1,53,漆桂林
3,6,105,周玲
3,6,2,丁玎
3,5,15,罗军舟
3,6,15,罗军舟
3,5,54,祁磊
3,2,55,宋沫飞
3,3,104,仲新宇
3,3,35,崇志宏
3,6,114,罗立民
3,2,8,顾晓丹
3,6,59,吴含前
3,4,36,何洁月
3,4,38,李微
3,5,109,董晓
3,1,107,鲍旭东
3,6,45,吴强
3,3,13,凌振
3,1,85,周毅
3,5,102,王岩冰
3,4,13,凌振
3,4,102,王岩冰
3,4,46,徐立臻
3,1,102,王岩冰
3,6,86,孔祥龙
3,6,41,任国林
3,3,14,刘波
3,2,97,周颖
3,3,48,杨全胜
3,3,14,刘波
3,3,102,王岩冰
3,5,34,陈龙
3,2,117,唐慧
3,3,88,李传佑
3,3,16,吕妍
3,4,8,顾晓丹
3,3,30,杨鹏
3,3,120,杨淳沨
3,5,101,王红兵
3,4,64,姚莉
3,2,30,杨鹏
3,4,94,仲新宇
3,4,64,姚莉
3,5,119,伍家松
3,6,4,董恺
3,6,31,张竞慧
3,2,5,董永强
3,1,63,闫亚萍
3,6,63,闫亚萍
3,3,2,丁玎
3,2,6,方效林
3,6,119,伍家松
3,2,22,王萃寒
3,3,61,徐宁
3,2,19,沈军
3,4,113,李松毅
3,1,103,吴含前
3,3,6,方效林
4,6,5,董永强
4,6,5,董永强
4,2,82,张敏灵
4,5,110,季续
4,1,110,季续
4,3,79,魏通
4,6,73,李慧颖
4,3,45,吴强
4,4,73,李慧颖
4,5,78,王万元
4,4,93,王岩冰
4,3,80,杨绍富
4,6,68,周德宇
4,1,64,姚莉
4,6,67,张志政
4,1,95,周玲
4,6,105,周玲
4,4,58,王萌
4,5,8,顾晓丹
4,3,108,陈阳
4,6,10,金嘉晖
4,4,63,闫亚萍
4,1,6,方效林
4,1,10,金嘉晖
4,4,53,漆桂林
4,5,6,方效林
4,3,107,鲍旭东
4,1,65,张祥
4,5,11,李伟
4,4,11,李伟
4,6,109,董晓
4,2,49,张柏礼
4,6,111,姜龙玉
4,3,44,王爽
4,2,115,沈傲东
4,5,21,王贝伦
4,4,34,陈龙
4,6,39,吕建华
4,3,29,杨明
4,1,18,沈典
4,5,35,崇志宏
4,3,86,孔祥龙
4,4,86,孔祥龙
4,6,0,陈巍巍
4,3,105,周玲
4,2,122,於文雪
4,3,21,王贝伦
4,3,22,王萃寒
4,1,42,宛斌
4,1,37,李小平
4,6,15,罗军舟
4,1,26,吴文甲
4,6,42,宛斌
4,2,43,王伟
4,1,43,王伟
4,2,18,沈典
4,2,34,陈龙
4,6,100,倪巍伟
4,1,13,凌振
4,2,14,刘波
5,4,30,杨鹏
5,1,7,傅忱忱
5,3,89,廖力
5,5,2,丁玎
5,2,7,傅忱忱
5,4,89,廖力
5,5,62,薛晖
5,6,62,薛晖
5,4,91,戚晓芳
5,1,16,吕妍
5,4,16,吕妍
